wavs/4PQcSCFOxxU_00702.wav|Oggaa kee wajjin waggaa waggaa dharrama damuu keessaa galii biyya keessati irraa
wavs/GngcO0OgG50_00288.wav|Waliigaltee adda addaa malatteessuurraa eegalee Imbaa si Itoophiyaa kest banuu eegalee.
wavs/owXzKSAwn6c_01058.wav|Alaabaan Itoophiyaa wal bahee akka mul'atu kanneen godhan atileetotni akka galatee burqaa gatiin isaan kaffalaa jirallaa iyyuu akka hin taane kan himan ogeessi fayyaa olaanaan federeshinii atileetiksii Itoophiyaa Dr Ayyaloo Xilaahun seera atileetota miidhaa irraa ittisi raggaasisuuf hojjetamaa
wavs/Ar9mxReXlAI_01198.wav|Dabalataan ammoo ItV Afaan Oromoo dabalatee akkuma beekamu yeroo hundumaa akka isinetti himuu karaa duuti sirrii mijeenya argachuu ni dandeessu; Oomishaafi tajaajila keessan beeksi fadhaa jecha guyyaa har'aa
wavs/xWOyBQ4AceY_00569.wav|"Kanaanis qamadii biyya alaatii galaa turee kan biyya keessatiin bakka buusuun danda'ameeraa, "" jedhan."
wavs/-X1gbk-kyrM_00137.wav|Nudhaabbilee gurguddaa addunyaan nu mirkaneessitee fi addunyaan ragga ginaayisd goota beekamtii kenniteef baay'ee qabna, gogguddaa isaa qabna jechuudha, sanaa sheerri fudhachuu danda'u jechuudha.
wavs/5Kb1NwNvvNw_00660.wav|Warshaana sokkaaraa Wanjii waggaa 70 har'aa ture bu'uuraa gaariirratti ijaaramee kan jedhan MM Dr Ahimed
wavs/3LIiV7HntPM_00315.wav|Namoota tokko tokko irraa kaffaltiin gibiraa gama maraatiin yoo irraachitu ni mul'ata.
wavs/73mzmdCydj8_00226.wav|Gara gadii kana akkas godhee maal godhee bulee buljaajessee fixee nama akka kan godhe
wavs/R_K3Lw_VyiU_00408.wav|Liiverpuul Boruu Tapha michoomaa eessi miilaan wajjin taphataa Shaampiyoonaan Piriimer Liigii Eengilaand Liiverpuul Boruu
wavs/QvamRIIUoFc_00288.wav|irraa galii dolaarii biiliyoona lamaafi miliyoona 200 ol argamuu beeksisee Abbaa Taayitichaatii hojii raawwachiisaan hariiroo ummataafi kominikeeshinii Saahil Maariyaam, Gabramadiin bara baajatichaatii bunaachoonii kumaa 200
wavs/GrKLKcBnY2c_00498.wav|Ejjennoo qabaachuu, hojjetamaa jiraachuu, hoggantoonni mootummaa olaanoo himan.
